site,attraction_location,total_reviews,date_dataAccess,page_nbr,title,full_review,date,userName,device,userLocation
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",3,Lalibela,The rock hewn churches of Lalibela is a place where one should have to see it before before death. It is one of the most spectacular site on our planet in which human knowledge has been revealed. No word to write about it but simply...More,"October 7, 2017",Beyene A,via mobile ,"Addis Ababa, Ethiopia"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",3,Unexpected architecture,The monolithic rock-hewn churches of Lalibela which are found in rural Lalibela town are among so special and must to see place in Ethiopia. It was unusual and strange way of construction which is made up of a single rock curved and decorated in a...More,"October 6, 2017",MarkkoFIN,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",3,A bucket list item in your life,"While this particular Rock-Hewn church seems the most popular of all the churches, be aware that there are many churches in the area and that they are all extremely impressive. This one is probably the most photogenic, and equally impressive.","September 29, 2017",FestiveLife,NA,Cape Town
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",3,St Georges Church,This is a rock-hewn church carved from the top down and is a wold wonder. It was built over 8 centuries ago and is amazing as the inside of the church was carved from the bottom up.,"September 20, 2017",Dr Raymond D,NA,Tamworth
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",3,A monument to man's creative spirit,"An awesome experience! What an architectural feat considering the limited tools available. Make sure to take a guide as they add so much to the overall history and context of this setting, as well as providing interesting points about the Ethiopian Orthodox religion. Not to...More","September 8, 2017",Marilyn S,NA,Somerset West
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",3,Incredible,Pictures cannot possible capture the impression these churches create. We were blown away. Wear easily removable shoes because you have to take them off every time you enter one of the churches,"August 30, 2017",michelle h,NA,"Virginia Beach, Virginia"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",3,Was expecting more,This is a nice place to visit but people are getting carried away when they say it is the eighth wonder of the world. You also have to pay 50 bucks to help keep 400 priests in the life they are accustomed too. Thank you...More,"August 28, 2017",Scott8446,via mobile ,"Glasgow, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",3,Stunning!,"The trip was absolutely worth it to see the eleven churches and one 42km away in a cave. Beautiful and impressive, incredible to see the culture. Please respect local custom and wear appropriate clothing (and females cover heads), it was disappointing to see how many...More","August 25, 2017",HJE7,NA,"Richland, Washington"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",3,Stunning churches ,The church tour we did with Ayalew was very interesting and informative. Ayalew picked us up from the airport and was flexible to our needs. He also provided good recommendations and was very friendly.,"August 22, 2017",MC F,via mobile ,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",4,Lalibela rock hewn churches amazed tour is really good.,I have been at lalibela ethiopia to visit rock hewn churches and around from july 21 to july 25 .at this time of staying my guide for all activities was from lalibela rock hewn churches amazed tour his name is yayehrad and he was very...More,"August 18, 2017",Yayehyirad M,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",4,You have to be there to believe it,"The visit was very educational. We were amazed at the architecture and the feat of creating the stone churches. I believe that you need a full day to see them all.
If you have a ""balance"" issue a good guide can make all the difference!!!...More","July 27, 2017",Jerry E,NA,"Boca Raton, Florida"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",4,Lalibela ,Beautiful church with all the history and unbelievable architecture. Ethiopian Christmas is the best time to visit if interested to see the ceremony but it will be so crowded so need an early plan .The rainy season of Ethiopian will be the low season .,"July 11, 2017",mahlet m,via mobile ,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",4,Must see in Ethiopia,This is a must see in Ethiopia so try and include it in your trip. We got a guide but you could probably do it solo. I would recommend getting a guide to make the most of your trip here as well as helping supporting...More,"July 11, 2017",HT204,via mobile ,"Sydney, Australia"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",4,Exciting place on Ethiopian Historic Route Tour,We four friends from Clemson university had visited Ethiopiaon May 2017 for 10 days. We use the service Ethiopian tour operator King Dawit Tours Ethiopia. From the beginning the company manager Dawit replied towards our request very quickly and he answer all my questions and...More,"June 19, 2017",Scottimbus3,NA,"New York City, New York"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",4,Beyond belief...and NOT just for believers!,"you are interested in the exquisite rock-hewn churches of Lalibela (and you should be), you will definitely need a local guide. You can't​ do better than Addisalem Berhanu (ask for him by name...the locals will know where to find him). Warm and friendly while remaining...More","June 18, 2017",Michael A,via mobile ,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",4,Impressive! ,"The rock hewn churches are a must see in Lalibela. There are 11 churches in total and are divided into two parts: ""Jerusalem"" and ""Heavenly"". It is recommended to start on the Jerusalem side first, then pass through a pitch black tunnel (symbolizing hell) before...More","June 15, 2017",Arya07,via mobile ,United States
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",4,Don't miss it,"You go to Lalibela for the churches, so I assume that you won't miss it. Fabulous. Expensive though, 50$ and add 20 or 25 for a good guide for the day, but it's really worth it. I had an excellent guide, Sofi, and when I...More","June 4, 2017",tetedoeuf,NA,"Lyon, France"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",4,Very good trip to Lalibela,"The Guide, Abraham was so knowledgeable and offered a very good experience for the 2 days we visited. I would go there again if I had the time","May 23, 2017",Atick,NA,"Addis Ababa, Ethiopia"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",4,Stunning,I have seen many tourist attraction sites in Ethiopia. Some of them didn't really live up to my expectations. Lalibella is different. It is mesmerizing. It exceed my expectations by far and the first time I saw it I couldn't think any thing else for...More,"May 21, 2017",Biruk K,via mobile ,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",5,Unique,Visiting the churches of Lalibela is a special experience for any global traveller. Flight from Addis Ababa is 1-2 hours depending of direct or not. Direct is only a few days a week. Small tuc-tuc taxis may be hired at the airport but often hotel...More,"May 21, 2017",Yvonne Norton L,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",5,Absolute Must-See,"If you are headed to Ethiopia, this and the Simien Mountains should top your list of places to see. The effort that must have went in to creating these churches has to be on par with the pyramids. I'm not exaggerating. These churches aren't nearly...More","May 14, 2017",Matt M,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",5,One of the most fascinating places in the world,"What can you say about Lalibela? It's incredible. Worth a visit to Ethiopia to see. If you're in Ethiopia, visit Lalibela.","May 11, 2017",msfour,NA,"Portland, Oregon"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",5,"Unique site, poorly managed","Although St.Georges church is undoubtedly a five star attraction, the site as a whole is no more special than those in Capadokia or Ani in Turkey. A good tour guide is key, as there is very little explanation of the features of the churches or...More","May 6, 2017",Howard M,via mobile ,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",5,Amazing churches,"The site is wonderful, the two groups of churches are very interesting and even more, the interconnection between them worth to spend the day and even more.
The building themselves are interesting, but if you have the chance to see them during the Easter or...More","May 2, 2017",Dan M,NA,"Brussels, Belgium"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",5,Super,"Unique nothig similar in the world not well protected pity, not too much conservation efforts seen. Very genuine.","May 1, 2017",jluddeke,NA,"Osterode am Harz, Germany"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",5,Magical to have visited at Easter,"This has been on my list of 'must dos' for so many years and it did not disappoint. I'm not the fastest or sure-footed of walkers but our guide, Ballai, was always there to help and make sure that I got to see everything that...More","April 30, 2017",hkannie27,via mobile ,hong kong
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",5,More than I could have imagined!,"April 2015
I flew to Lalibela from Addis Ababa and stayed overnight in a hotel (it was just outside of the Easter period, so was not busy or crowded, which made it even more special.
It's the most awesome sight I've seen. This church and...More","April 30, 2017",GeorgyP421,NA,"London, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",5,Incredible churches and great guide- Sefiw H/mariam,"Went in expecting this to be interesting but turned out to be even more impressive. 2 tips: split it the tour over 2 days even if you have to pay slightly more as it makes visiting the 10 churches more enjoyable, and use Sefiw H/mariam...More","April 26, 2017",mhadams24,NA,"Nairobi, Kenya"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",5,Fascinating - especially at Easter,"My 13 year old son and I hired a local guide who was recommended to us by other tourists we met in Ethiopia. We called him up when we arrived in Lalibela and luckily he was available. His name is Setegn (""Seta"") Mekonnen (setegn_mekonnen@yahoo.com, 091...More","April 22, 2017",DadaEliza,via mobile ,"Dar es Salaam, Tanzania"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",6,super,"i never seen like this historical place in my life it is really amazing and merakel for me.
i highly recomanded this historcal place for the travellers","April 18, 2017",kner123,NA,"Berlin, Germany"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",6,This is a must see attraction!,If you want to see one of the wanders of the world this is the place! It is not quite understandable how these churches have been hewn from the rock! It is amazing to see and admire this work made centuries ago!,"April 17, 2017",Connyswede,NA,"Kalmar, Sweden"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",6,Family vacation,It was a great time out seeing the ancient churches of Lalibela. Our visit was during the Easter Celebrations and it was a perfect time to see the devotion of the Orthodox Christian adherents,"April 16, 2017",Fisayo A,via mobile ,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",6,A wonder of the world in deed but require walking,"It is a highly reputed wonder of the world preserved much in its original form. The sights are not the greatest you will get but the history and the wisdom, dedication, hard work and labour of the ancient people can be much appreciated at the...More","April 11, 2017",Eric L,via mobile ,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",6,Great visit with our Amazing guide Ayalew!,"These churches are amazing! We've done many tours in ethiopia, but this one was by far the best. We got us an amazing guide via a hint on tripadvisor. His name is Ayalew Setegn. There are many mediocre guys in Ethipoia, but he was amazing....More","April 10, 2017",Kai C,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",6,Mind blowing engineering,I'd seen the photos beforehand but we were blown away when we came to the first church. It is a marvel to work out how they moved all that rock so long ago with the available technology. The awe continued to the last of the...More,"April 9, 2017",A F,NA,Surrey
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",6,Hiking shoes and stick,"People wanting to be hired as guide, 500birr person ,a bit over kill. You have to pay guide transportation both ways, ticket to enter 500 birr and they want tip. Lonely planet has great descriptions wonderful to walk the loose rocks and paths to see...More","April 2, 2017",joyious,NA,uae
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",6,Worth the trip in gold!,"If you are able to get to Lalibela....do it! It is so beautiful, so remote and so sacred. It is worth the effort. We took a day trip and spent the night at a lovely little hotel called Tukul Village....highly recommend! We flew out of...More","March 30, 2017",JenniferRikkers,NA,Wisconsin
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",6,One of the new Wonders of the world I would agree,We managed to visit the NW & Southern Chruches as well as the Gt. Georges Church which is stand alone. The churches carved into the rocks are spectacular with details and arches. Hard to imagine how this was done. Bring good walking shoes and be...More,"March 29, 2017",Loretta M,NA,"Dubai, United Arab Emirates"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",6,"Wonderful, but two caveats","Of course, the Lalibela churches are amazing. Hewn out of rock and in use for 800 years. They are rightly admired the world over. I have two comments. Firstly, I think the price of USD 50 charged for entry is excessive - more than Versailles,...More","March 27, 2017",Seymour F,NA,"London, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",7,"Lalibela, the second Jerusalem","I will honestly tell you that Lalibela is a must stop visit in Ethiopia. That being said, if you have seen other ruins such Angkor, Petra, Tikal or Bagan, then Lalibela may not be at the top. However, i can guarantee that you will not...More","March 26, 2017",Long B,NA,"Tampa, Florida, United States"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",7,Unlike Anything I've Ever Seen,I spent two days visiting the churches in February. The pictures you've probably already seen simply don't do justice to the buildings. Simply amazing! I strongly recommend hiring a licensed guide as they can explain the symbolism of the church designs both in the interior...More,"March 26, 2017",65barry,NA,"Victoria, Canada"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",7,Very interesting and impressive,"Because came in march there were virtually no other tourist. The only people that were there were the locals who were praying and chanting. The churges itself are very impressive, and you're allowed to walk around freely.","March 25, 2017",Pascal F,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",7,A fascinating city of 800 year old rock cut churches,"a fascinating area with 11 main Ethiopian Orthodox Christian churches, carved by hand by local people 800 years ago","March 24, 2017",thrs_wallace,NA,"Edinburgh, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",7,with the help of angels?,the whole lalibela valley was so surreal...was it created by the assistance of angels??? an amazing example of ancient architecture that still boggles the mind.,"March 18, 2017",CHEILAUGH G,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",7,Interesting architecture but overpriced,"These churches are interesting for the architectural aspect and the historic-cultural side as well. Nevertheless, you can see the 11 churches in one morning or one day and at 50 USD per person for the 5 days ticket is a bit too much.","March 18, 2017",David Jonatan P,NA,"Berlin, Germany"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",7,Excellent,These churches are simply amazing. Each one is different inside and out and some have some stunning carvings inside. The price is steep but it is worth it. There are tunnels connecting some of the churches and I recommend going through them in the dark...More,"March 14, 2017",livinglifetothefull1,NA,"Hertfordshire, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",7,"Amazing history, great experience","For Ethiopia, these churches are very well preserved - although expensive! A 4-day pass will cost USD 50, Ethiopians enter free of charge. We thought one day was sufficient, there's only so many churches you can see...","March 6, 2017",kljoosten,NA,"Rome, Italy"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",7,One of the 7 World Wanders.,This is an amazing place! One of the World Wanders. It is a petty people do not know about such places.,"March 6, 2017",Boris L,NA,"Toronto, Canada"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",7,Must see,"I agree with all that Jackie H says below. I'm not religious but these churches are very moving and inspire a sense of awe. You have to keep reminding yourself when you see the pillars and the arches, and domed ceilings, that they've not been...More","March 5, 2017",therapina,NA,"Limassol, Cyprus"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",8,A little disappointed,"I was certainly impressed by the fact that the churches had been carved out from stone. Quite a feat !
However they were not as impressive in real life as the photos that you see.
The covers to protect the churches have been badly designed...More","March 4, 2017",James H,via mobile ,Noosa Heads
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",8,Scenes from the Holy Bible,"If you have ever read the Holy Bible and if you want to see in real, this is a place to visit. Apart of Timkat, the days before Orthodox Christmas (7th January) are also one of the best time to visit. A lot of pilgramers,...More","March 2, 2017",2jg1,via mobile ,"Ljubljana, Slovenia"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",8,Impressive,Impressive but expensive. The inside of these churches is nothing special compared to the tigray rockchurches. No paintings. But it's nice to get lost in this complex. I would suggest to go early in the morning so that you can explore and make pictures without...More,"March 1, 2017",diRde,via mobile ,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",8,There are so many rock hewn churches to see that husband got bored of taking off his shoes,"Yes these churches are incredible and very moving but you will be continually hassled by young children both to buy things and for backshish which becomes a bit boring after a bit.
A good guide is needed and dont try to see both the northern...More","March 1, 2017",Kimlet,NA,Warwickshire
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",8,A must see when in Lalibela,There are 11 rock hewn churches split into the north-west and south-east clusters. The steps are very uneven and quite slippery in places. You need to be fairly agile and have a reasonable level of fitness to visit them. They are well worth a visit...More,"February 28, 2017",Jackie H,NA,"Swindon, United Kingdom"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",8,Good religious ceremony,"Everyone has to see how they celebrate Ethiopian Christmas, and the place is one of king Lalibela's great work.","February 27, 2017",bisrat d,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",8,Always New,"The first time I visited the incrediblely hand carved churches of Lalibela, as a student, was back in 2014. From then on I travel to Lalibela at least four times a year. EVERY TIME, THERE IS SOMETHING NEW WITH THESE CHURCHES WHICH MAKES ME WONDER....More","February 23, 2017",Muluken G,via mobile ,"Addis Ababa, Ethiopia"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",8,"What a charming place, Wow!!!","I heard a bout this rock-hewn churches from my friends, starting from that time i always want to visit those churches, it is more than what i heard about it, it is the most interesting ancient civilization, must see while you are in Ethiopia.","February 22, 2017",alexmarcell38,NA,"Berlin, Germany"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",8,OUTSTANDING,"Please visit, a must visit place. Great history and an attempt by King Lalibella to have a second Jerusalem in ET for those who cannot travel to Palestine/Israel to visit the holy place. We happened to be there 2 days before the Ethiopia Christmas on...More","February 22, 2017",dhananjayaa,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",8,Thrilling and well preserved,"This is the best thing in Ethiopia. I was lucky enough to hear monks chanting at one of the churches. I spent 2 half days viewing the churches with a guide, which was just right.","February 21, 2017",BenefacTours,NA,Vancouver
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",9,Amazing rock churches,"We were fascinating by the wonderful,curving single rock churches of Lalibela. our guide had an excellent knowledge of all history being depicting,some brought back memories of Sunday school,others was completely new to us. if you go to Ethiopia never miss this heavenly place.","February 21, 2017",Steverick,via mobile ,Alaska
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",9,nothing comparable in the world,Sure! I visited lalibela when i was 12 but I didn't know anything about lalibela after my teacher thought about lalibela in History class I was fascinated and eager to visit I did after 8 years it was completely different. if you know the detail...More,"February 19, 2017",Esubalew,NA,"Addis Ababa, Ethiopia"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",9,One of a kind.,These amazing churches make the trip to Ethiopia worthwhile. They are a sight to be seen...BEAUTIFUL!!! Make sure you visit as many as you possibly can.,"February 18, 2017",trvlbufElmhurst,NA,"Elmhurst, Illinois"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",9,Brilliant hisoric site,"I have already produced a review of this amazing site, but some idiot in trip advisor has not accepted it for entirely spurious reasons. So if you want to know what I think, contact me directly","February 15, 2017",WilliamRodney,NA,England
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",9,Beautiful but expensive,"The price is $50 per person which is exorbitant- the ticket covers 5 days and maybe if you are there for that amount of time and visit every day it might make it hurt a bit less.
When you add on the price of a...More","February 15, 2017",supertraveltracy,via mobile ,cape town
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",9,Wonderful,"We really enjoyed our visit to the Lalibela churches. The architecture, history and geology are all incredible - breathtaking. We were very lucky to find such a good guide - Sisay. Whilst we would have enjoyed our visit in any case I think that Sisay...More","February 10, 2017",Vcla,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",9,Breath taking Churches,"Lalibela also known as the second Jerusalem which is known by the famous monolithic rock-hewn churches with amazing architectural skill, those magnificent rock cut churches erected in 12th century by king Lalibela he is one of the outstanding king during the Zagwe dynasty, in this...More","February 7, 2017",MickyEthio,NA,"Addis Ababa, Ethiopia"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",9,Lots of churches from the same period!,"Absolutely great pieces of architecture from an ancient time, and the churches are still used by worshippers today. But be prepared to walk a lot on difficult terrain and through tunnels etc. and Lalibela is on a high altitude so it takes long time to...More","February 6, 2017",Ingeborg56,NA,"Oslo, Norway"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",9,An Unbelievable Experience,That these churches have been used for the last 800 years is astounding. The herculian task of creating them out of the rock takes your breathe away. Do not miss spending quiet time meandering through them to experience a journey back to forgotten times.,"February 5, 2017",iconicdestinations,NA,Australia
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",9,Amazing!!,"Simply stunning and unbelievable craftsmanship in these 800 year old churches; I was privileged to be there during Ethiopian Christmas (Genna), and witnessed thousands of pilgrims also visiting the churches during this holy time. Very moving, a definite must-see in Ethiopia.","February 5, 2017",Elaine M,NA,NA
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",10,Must see in person,"I had no idea what to expect. When you search for images of Lalibela, all you see are photos of St. George's Church. But there are some many others that are not photographed. There are ugly tarps protecting the other churches, so they are not...More","February 3, 2017",ediehu,NA,"Hong Kong, China"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",10,'The eighth Wonder',This is the place you must visit before you die. No one believes that one can chesel a rock and end up with this kind of beautiful things,"February 3, 2017",asaa_roman,NA,Addis Ababa
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",10,absolutely amazing,"we visited the churches of St Gabriel/St Raphael & St Emmanuel - walking , climbing thru tunnels and narrow pathways . Good sturdy shoes are a must . A mask may be required as there were flies about - not sure if this was a...More","February 1, 2017",193_13,NA,"Singapore, Singapore"
lalibela,"Lalibela 1000, Ethiopia",1433,"December 21, 2017",10,A must see,"This should be one of the wonders of the world. If you don't visit you have not visited Ethiopia. These are not museums, they are real holy places that you are allowed to visit respectfully. So far not trampled by mass tourism!","January 25, 2017",RaCeDaPa,NA,"Da Lat, Vietnam"
